# COCA COLA CO  (CIK 21344)
  SIC: Beverages  ·  Exchange: NYSE

## Recent key filings
  2026-05-01  8-K       acc:0001628280-26-029230
  2026-04-30  10-Q      acc:0001628280-26-028802
  2026-04-28  8-K       acc:0001628280-26-027723
  2026-03-16  DEF 14A   acc:0001104659-26-028215
  2026-02-20  8-K       acc:0001628280-26-010052
  2026-02-20  10-K      acc:0001628280-26-010047
  2026-02-10  8-K       acc:0001628280-26-006642
  2026-01-14  8-K       acc:0001552781-26-000017
  2025-12-10  8-K       acc:0001552781-25-000454
  2025-10-23  10-Q      acc:0001628280-25-046054
  2025-10-21  8-K       acc:0001628280-25-045577
  2025-10-16  8-K       acc:0001628280-25-045223

## Key financials (latest annual, XBRL)
  Revenues                  $47.94B   (FY end 2025-12-31)
  NetIncome                 $13.11B   (FY end 2025-12-31)
  Assets                   $104.82B   (FY end 2025-12-31)
  Equity                    $32.17B   (FY end 2025-12-31)
  OperatingCashFlow          $7.41B   (FY end 2025-12-31)
  GrossProfit               $29.54B   (FY end 2025-12-31)
