# NIKE, Inc.  (CIK 320187)
  SIC: Rubber & Plastics Footwear  ·  Exchange: NYSE

## Recent key filings
  2026-04-01  10-Q      acc:0000320187-26-000037
  2026-03-31  8-K       acc:0000320187-26-000026
  2026-03-09  8-K       acc:0000320187-26-000020
  2026-03-05  8-K       acc:0000320187-26-000017
  2025-12-30  10-Q      acc:0000320187-25-000151
  2025-12-18  8-K       acc:0000320187-25-000138
  2025-12-02  8-K       acc:0000320187-25-000115
  2025-10-01  10-Q      acc:0000320187-25-000097
  2025-09-30  8-K       acc:0000320187-25-000091
  2025-09-11  8-K       acc:0000320187-25-000060
  2025-07-28  8-K       acc:0000320187-25-000053
  2025-07-17  DEF 14A   acc:0000320187-25-000048

## Key financials (latest annual, XBRL)
  Revenues                  $46.31B   (FY end 2025-05-31)
  NetIncome                  $3.22B   (FY end 2025-05-31)
  Assets                    $36.58B   (FY end 2025-05-31)
  Equity                    $13.21B   (FY end 2025-05-31)
  OperatingCashFlow          $3.70B   (FY end 2025-05-31)
  GrossProfit               $19.79B   (FY end 2025-05-31)
