# Walmart Inc.  (CIK 104169)
  SIC: Retail-Variety Stores  ·  Exchange: Nasdaq

## Recent key filings
  2026-06-05  8-K       acc:0000104169-26-000111
  2026-05-29  10-Q      acc:0000104169-26-000102
  2026-05-21  8-K       acc:0000104169-26-000095
  2026-04-30  8-K       acc:0001193125-26-194086
  2026-04-23  DEF 14A   acc:0001193125-26-173673
  2026-03-27  8-K       acc:0000104169-26-000067
  2026-03-13  8-K       acc:0000104169-26-000057
  2026-03-13  10-K      acc:0000104169-26-000055
  2026-02-19  8-K       acc:0000104169-26-000032
  2026-01-16  8-K       acc:0000104169-26-000023
  2026-01-08  8-K       acc:0000104169-26-000008
  2025-12-29  8-K       acc:0000104169-25-000238

## Key financials (latest annual, XBRL)
  Revenues                 $713.16B   (FY end 2026-01-31)
  NetIncome                 $21.89B   (FY end 2026-01-31)
  Assets                   $284.67B   (FY end 2026-01-31)
  Equity                    $99.62B   (FY end 2026-01-31)
  OperatingCashFlow         $41.56B   (FY end 2026-01-31)
