# Apple Inc.  (CIK 320193)
  SIC: Electronic Computers  ·  Exchange: Nasdaq

## Recent key filings
  2026-05-01  10-Q      acc:0000320193-26-000013
  2026-04-30  8-K       acc:0000320193-26-000011
  2026-04-20  8-K       acc:0001140361-26-015711
  2026-02-24  8-K       acc:0001140361-26-006577
  2026-01-30  10-Q      acc:0000320193-26-000006
  2026-01-29  8-K       acc:0000320193-26-000005
  2026-01-08  DEF 14A   acc:0001308179-26-000008
  2026-01-02  8-K       acc:0001140361-26-000199
  2025-12-05  8-K       acc:0001140361-25-044561
  2025-10-31  10-K      acc:0000320193-25-000079
  2025-10-30  8-K       acc:0000320193-25-000077
  2025-08-01  10-Q      acc:0000320193-25-000073

## Key financials (latest annual, XBRL)
  Revenues                 $416.16B   (FY end 2025-09-27)
  NetIncome                $112.01B   (FY end 2025-09-27)
  Assets                   $359.24B   (FY end 2025-09-27)
  Liabilities              $285.51B   (FY end 2025-09-27)
  Equity                    $73.73B   (FY end 2025-09-27)
  OperatingCashFlow        $111.48B   (FY end 2025-09-27)
  GrossProfit              $195.20B   (FY end 2025-09-27)
